act_s,count,act
"C.G. Public Distribution System Act PDS",4,3852
"C.G. Rajya Suraksha Act, 1990",1,3853
"C.G. Sampatti Virupan Niwaran Adhiniyam 1994",1,3854
"C.G. Shakshnik sansthao may pratadna Rangig pratirodh adhiniyam",79,3855
"C.G. State Securities Act",1,3856
"C.G. Tonhi Pratarana Nivaran Adhiniyam",8,3857
"C.G. Van Upaj Vyapar Viniyaman Adhinium 1969",2,3858
"C.G. Vanopaj (Vyapar Viniyaman )Act1969",5,3859
"C.G. Vishesh Jan Suraksha Adhiniyam, 2005",2,3860
"C.G. former animal Preseration Act 2004",12,3861
"C.G. former animal preseraration act 2004",4,3862
"C.G.Agricultural cattle preservation Act 1959",7,3863
"C.G.Agriculture Cattle Preservaion Act",38,3864
"C.G.Agriculture Cattle Preservation Act 2014",16,3865
"C.G.Babel Control Act 1985",17,3866
"C.G.Excise act",24,3867
"C.G.KOLAHAL NIYANTRAD ACT",5,3868
"C.G.Kolahal Niyatran Adhiniyam 1985",1,3869
"C.G.NOISE OR KOLAHAL PREVENTION ACT1985",6,3870
"C.G.NURSINGH HOME ACT",12,3871
"C.G.Protection of Depositor Interest Act, 2005",1,3872
"C.G.Vishesh Jan Suraksha Act 2005",27,3873
"C.G.Welfare Of Depositor Protection Act 6",1,3874
"C.L.A ACT",1,3875
"C.L.A. Act",26,3876
"C.L.A.1908 17II",124,3877
"C.M.A.",32,3878
"C.MISS",13,3879
"C.P code",1353,3880
"C.P.C",7740,3881
"C.P.C Act",1533,3882
"C.P.C.",19481,3883
"C.P.C. CASES",74,3884
"C.P.C. U/Sec.30(1) of L.A. Act.",54,3885
"C.P.C.,",23,3886
"C.P.C.- Interlocutory Order",25340,3887
"C.P.C.- Non-Interlocutory Order",20139,3888
"C.P.C.order 7,Rule 1 R/w 26.",8,3889
"C.R.P. C",307,3890
"C.S Act",177,3891
"C.S. ACT",1757,3892
"C.S. Act",57,3893
"C.T. ACT",1,3894
"C.T. Act",1,3895
"C.mis 438 of crpc Anticipatary",6730,3896
"CABLE TELEVISION - NETWORKS (REGULATION) ACT, 1995",78,3897
"CABLE TELEVISION NETWORK ACT",4,3898
"CABLE TELEVISION NETWORK REGISTRATION ACT, 1995",11,3899
"CABLE TELEVISION NETWORKS (REGULATION) ACT",104,3900
"CABLE TELEVISION NETWORKS (REGULATION) ACT, 1995",31,3901
"CABLE TELEVISION REGULATION 1995",1,3902
"CABLE TELEVISION REGULATION ACT,1995",1,3903
"CABLE TV ACT",7,3904
"CANCELATION OF  LEASE",1,3905
"CANCELATION OF MARRIAGE",1,3906
"CANCELLATION OF BAIL",3,3907
"CANCELLATION OF GIFT DEED",1,3908
"CANCELLATION OF SALE DEED",7,3909
"CANE ACT",48,3910
"CANTONMENT ACT 2006",215,3911
"CARRIER ACT, 1865",27,3912
"CASTE CERTIFICATE  1871",18,3913
"CATTLE",45,3914
"CATTLE TRESPASS ACT, 1871",729,3915
"CATTLE TRESPASS Act",490,3916
"CATTLE-TRESPASS ACT, 1871",16,3917
"CATTLE-TRESPASS Act",27,3918
"CATTLE-TRESPASS Act, 1871",22,3919
"CENRAL EXCISE ACT",1,3920
"CENTRAL EXCISE ACT, 1944",116,3921
"CENTRAL EXCISE AND SALT ACT, 1944",718,3922
"CENTRAL INDUSTRIAL SECURITY FORCE ACT, 1968",1,3923
"CENTRAL MOTOR VEHICLE ACT",1,3924
"CENTRAL MOTOR VEHICLE ACT 1988",2,3925
"CENTRAL SALES TAX ACT",7,3926
"CENTRAL SALES TAX ACT 1956",17,3927
"CENTRAL SALES TAX ACT, 1956",12,3928
"CERTIFICATE U/S 372 OF INDIAN SECTION ACT",250,3929
"CG Babel Control Act",2,3930
"CG Drinking Water Maintenance Act 1986",1,3931
"CG Excise act",222,3932
"CG KRISHAK PASHU PARIKSHAN ACT",5,3933
"CG Kolahal Niyantran Adhiniyam",4,3934
"CG Kolahal Niyantray Adhiniyam",1,3935
"CG Municipal Corporation Act, 1956",4,3936
"CG PROPERTY DISTORTION ACT 1994",1,3937
"CG Public Trust Act, 1951",21,3938
"CG SAMPATTI VIRUPAN ADHINIYAM, 1994",1,3939
"CG Town and Country Planning Act",3,3940
"CG. Chiktasa Sewak  Sansthan Hinsa Tatha Sampati Ki Hani Ki  Kshti  Rokthan Adhiniyam 2010",2,3941
"CG.Municipal Corporation Act, 1961",1,3942
"CGST AND KGST ACT 2017",24,3943
"CHARITABLE AND RELIGIOUS TRUSTS ACT",7,3944
"CHARITABLE AND RELIGIOUS TRUSTS ACT, 1920",13,3945
"CHARITABLE ENDOWMENTS ACT, 1890",1,3946
"CHARTERED ACCOUNTANTS ACT",1,3947
"CHATTISGARH FOREST ACT",1,3948
"CHEATING ACT 14 K",3,3949
"CHEMICAL WEAPONS CONVENTION ACT",1,3950
"CHEMICAL WEAPONS CONVENTION ACT, 2000",17,3951
"CHENNAI CITY MUNICIPAL CORPORATION ACT",339,3952
"CHHATTISGARH  ANIMAL ACT 2004",11,3953
"CHHATTISGARH AGRICULTURAL CATTLE PRESERVATION ACT",3,3954
"CHHATTISGARH AGRICULTURAL CATTLE PRESERVATION ACT, 2004",3,3955
"CHHATTISGARH DAKAITI AUR VYAPHARAN PRABHAVIT KSHETRA ADHINIYAM, 1981",41,3956
"CHHATTISGARH DOMESTIC ANIMAL PROTECTION ACT 2004",1,3957
"CHHATTISGARH JAN SURAKSHA ADHINIYAM 2005",1,3958
"CHHATTISGARH SPECIAL PUBLIC SECURITY ACT",4,3959
"CHHATTISGARH SPECIAL PUBLICE SECURITY ACT",4,3960
"CHHATTISGARH SPL. PUBLIC PROTECTION ACT 2005",2,3961
"CHHATTISGARH TONAHI PRATADNA NIVARAN ACT 2005",1,3962
"CHHATTISHGARH SARVJANIK PARIKHSA ANUCHIT SADHANO KA NIVARAN ADINIYAM 2008",1,3963
"CHHOTANAGPUR TENANCY ACT",1,3964
"CHILD ACT",25,3965
"CHILD AND ADOLESCENT LABOUR (PROHIBITION AND REGULATION) ACT, 1986",13,3966
"CHILD CARE AND PROTECTION ACT 2000",51,3967
"CHILD LABOUR (PROHIBITION & REGULATION) ACT,1986",56,3968
"CHILD LABOUR (PROHIBITION AND REGULATION ) ACT-1986",1,3969
"CHILD LABOUR (PROHIBITION AND REGULATION) ACT",1025,3970
"CHILD LABOUR (PROHIBITION AND REGULATION) ACT, 1986",645,3971
"CHILD LABOUR ACT",65,3972
"CHILD LABOUR ACT (PROHIBITION AND REGULATION) ACT",4,3973
"CHILD LABOUR ACT 1986",2,3974
"CHILD LABOUR ACT, 1986",7,3975
"CHILD LABOUR PREVENTION ACT",6,3976
"CHILD LABOUR PROHIBITATION ACT 1986.",5,3977
"CHILD LABOUR PROHIBITION  ACT",1,3978
"CHILD MARRAGE ACT",2,3979
"CHILD MARRIAGE ACT",6,3980
"CHILD MARRIAGE ACT U/S. 9,10,11",1,3981
"CHILD MARRIAGE PROHIBITION ACT",3,3982
"CHILD MARRIAGE RESTRAINT ACT",851,3983
"CHILD MARRIAGE RESTRAINT ACT, 1929",12,3984
"CHILD MARRIGE PROBEHITATIN ACT 2006ION",1,3985
"CHILD MARRIGE RESTRAINT ACT",1,3986
"CHILD PROTECTION ACT",33,3987
"CHILD PROTECTION OF SEXUAL ACT",61,3988
"CHILD RULL  ACT 2000",7,3989
"CHILDRANS ACT-2004",2,3990
"CHILDREN (PLEDGING OF LABOUR) ACT, 1933",3,3991
"CHILDREN ACT",2,3992
"CHILDREN ACT, 1960",34,3993
"CHILDREN MARRAGE PROTECTION ACT",1,3994
"CHILDREN PLEDGING OF LABOUR ACT",3,3995
"CHIT FUND ACT",1,3996
"CHIT FUNDS ACT",2,3997
"CHIT FUNDS ACT, 1982",6144,3998
"CHRISTIAN MARRIAGE ACT",4,3999
"CHRISTIAN MARRIAGE ACT 2001",1,4000
"CHRISTIAN MARRIAGE ACT, 1872",52,4001
"CIGARATTE TOBACO ADVERTISING PROHIBITION ACT",13,4002
"CIGARETTE & TOBACCO MANUFACTURING ACT 2003",9,4003
"CIGARETTE ACT",9,4004
"CIGARETTE ACT & OTHER TOBACCO PROHIBITION & ADVERTISEMENT REGULATION OF TRADE ACT",8,4005
"CIGARETTE AND OTHER TOBACCO PRODUCTS ACTS 2003",7886,4006
"CIGARETTES AND OTHER TOBACCO COMMODITY ACT 1975",13,4007
"CIGARETTES AND OTHER TOBACCO PRODUCTS (PROHIBITION OF ADVERTISEMENT AND REGULATION OF TRADE AND COMM",353,4008
"CIGARETTES AND OTHER TOBACCO PROHIBITION ACT",20,4009
"CIMINAL PROCEDURE CODE",1297,4010
"CINEMA ACT.",70,4011
"CINEMATOGRAPH ACT, 1952",112,4012
"CINEMATOGRAPHY ACT 1952",1,4013
"CIRCLULARS PROTECTION",1,4014
"CITIZENSHIP ACT",1,4015
"CITIZENSHIP ACT, 1955",91,4016
"CITY POLICE ACT",2,4017
"CIVIL",466,4018
"CIVIL ACT",142,4019
"CIVIL COURT ACT SEC 28 CPC",1,4020
"CIVIL COURT ACT,1957",10,4021
"CIVIL EXECUTION",7,4022
"CIVIL JAILS ACT, 1874",1,4023
"CIVIL MISC. ACT.",10,4024
"CIVIL MISCELLANEOUS",9,4025
"CIVIL MONEY SUIT",4,4026
"CIVIL PROCEDURE CODE",16964,4027
"CIVIL PROCEDURE CODE (CPC)",320,4028
"CIVIL PROCEDURE CODE 1908",3410,4029
"CIVIL PROCEDURE CODE ACT",24,4030
"CIVIL PROCEDURE CODE ACT.",1175,4031
"CIVIL PROCEDURE CODE, 1908",2227,4032
"CIVIL PROCEEDURE CODE",1825,4033
"CIVIL PROCEEDURE CODE 1908",597,4034
"CIVIL PROSEDURE CODE",39,4035
"CIVIL REGISTRATION CODE UNDER PORTUGUESE LAW",684,4036
"CIVIL REVISION",25,4037
"CIVIL REVISIONAL ORDER",82,4038
"CIVIL RULES OF PRACTICE",95,4039
"CIVIL RULES OF PRACTICE,1971",6,4040
"CIVIL Rule",2,4041
"CIVIL SUIT",1062,4042
"CIVIL SUIT ACT",2,4043
"CIVIL SUPPLY ACT",7,4044
"CIvil Procedure code",19,4045
"CL.3 L 3 SMOKING ACT",1,4046
"CLA",37,4047
"CLA (Criminal Law Amendment) Act",74,4048
"CLA ACT",168,4049
"CLA Act",200,4050
"CLR Act",1,4051
"CM 41",56,4052
"CMA",130,4053
"CMV ACT",75,4054
"CMV RULE 105 R/W 177, RULE 13(r) (i)(ii)(iii)(iv) R/W 177, CMV RULE 155 R/W 190(2) IMV ACT",2,4055
"CMV RULE 105 R/W 177, RULE 13(r) (i)(ii)(iii)(iv) R/W 177IMV ACT",2,4056
"CMV Rule 115 R/W 190(2) IMV ACT SEC 185 MV ACT SEC 3(1) R/W 181 IMV ACT",1,4057
"CMV Rule 115 R/w 190(2) IMV Act Rule 230 R/w 177 IMV Act.",2,4058
"CMV Rule 115 R/w 190(2) MV Act, Rule 14 a b r/w 177 MV act sec.53(1) R/w 192 MV Act.",1,4059
"CMV Rule 115 rw 190(2)  IMV Act",23,4060
"CMV Rule 115R/w190(2)IMV,Sec146 R/w196 IMV Rule230 R/w177 IMV,Sec128 (a)r/w177 IMV Act",1,4061
"CMV Rule 51, R/w 177 IMV Act, Rule 13(r)(ii)(iii) r/w 177 IMV Act.",1,4062
"CNT",2,4063
"CNT Act",13,4064
"CO",1,4065
"CO OPERATIVE SOCIETIES ACT",23,4066
"CO-OPERATIVE SOCIETIES ACT, 1912",27,4067
"CODE 3 AND 4 OF PROHIBITION OF CHARGING EXORBITANT INTEREST ACT",1,4068
"CODE OF CIVIL PROCEDURE",1341937,4069
"CODE OF CIVIL PROCEDURE (KERALA AMENDMENT) ACT,1987",1,4070
"CODE OF CIVIL PROCEDURE 1908",8423,4071
"CODE OF CIVIL PROCEDURE 1908 UNDER SECTION",8,4072
"CODE OF CIVIL PROCEDURE, 1908",443171,4073
"CODE OF CIVIL PROCEDURE, 1908 (HB)",990106,4074
"CODE OF CRIMINAL PROCEDURE, 1973",1,4075
"CODE OF CRIMINAL PROCEDURE,1973 UNDER SECTION",73,4076
"COLLECTION OF STATISTICS ACT",2,4077
"COLLECTION OF STATISTICS ACT 2008",4,4078
"COLLECTION OF STATISTICS ACT 2008 U SEC 200 OF CPC",4,4079
"COLLECTION OF STATISTICS ACT,1953",2,4080
"COLUMN 4 CLASS I 21,1 MMRD ACT 1957",10,4081
"COMMERCIAL AND CO.OP SOCIETY.",5,4082
"COMMERCIAL COURT, COMMERCIAL  DIVISION and COMMERCIAL APPELLATE DIVISION  ACT , 2015",86,4083
"COMMERCIAL SALES TAX ACT",12,4084
"COMMERCIAL TAX ACT",26,4085
"COMMISSION OF SATI (PREVENTION) ACT,1987",2,4086
"COMMISSIONS FOR PROTECTION OF CHILD RIGHTS ACT",1,4087
"COMMISSIONS FOR PROTECTION OF CHILD RIGHTS ACT, 2005",58,4088
"COMMITTAL",4,4089
"COMMON LAW ACT",1,4090
"COMPANIES (PROFITS) SUR-TAX ACT,1964",9,4091
"COMPANIES ACT",3027,4092
"COMPANIES ACT  RULES  1956",2,4093
"COMPANIES ACT (HB)",1703,4094
"COMPANIES ACT, 1956",928,4095
"COMPANIES ACT, 2013",779,4096
"COMPANY ACT 6",2,4097
"COMPANY ACT, 2013",4,4098
"COMPLAINT WISE GOVERMENT",1,4099
"COMPLY",2,4100
"COMTEMPT OF COURTS ACT",31,4101
"CONJUGAL RIGHT",3,4102
"CONSERVATION OF FOREIGN EXCHANGE & PRVN.OF SMUGGLING ACTV.ACT",1,4103
"CONSERVATION OF FOREIGN EXCHANGE AND PREVENTION OF SMUGGLING ACTIVITIES ACT",23,4104
"CONSERVATION OF FOREST ANIMAL ACT 1972",17,4105
"CONSTITUTION OF INDIA",121,4106
"CONSUMER PROTECTION ACT",88,4107
"CONSUMER PROTECTION ACT, 1986",94,4108
"CONTEMPT  OF COURT",42,4109
"CONTEMPT CIVIL",23,4110
"CONTEMPT INJECTION",2,4111
"CONTEMPT OF COURT",21,4112
"CONTEMPT OF COURTS ACT",149,4113
"CONTEMPT OF COURTS ACT 1971",1,4114
"CONTEMPT OF COURTS ACT, 1971",208,4115
"CONTEMPT OF COURTS ACT, 1971 ALONG WITH RULES TO REGULATE PROCEEDINGS FOR CONTEMPT OF THE SUPREME CO",39,4116
"CONTEMPT OF COURTS ACT1971",45,4117
"CONTRACT ACT, 1872",6636,4118
"CONTRACT ACT.",3,4119
"CONTRACT LABOUR  REGULATION AND ABOLITION ACT, 1970",5,4120
"CONTRACT LABOUR (REGULATION & ABOLITION) ACT,1970",179,4121
"CONTRACT LABOUR (REGULATION AND ABOLITION) ACT, 1970",3742,4122
"CONTRACT LABOUR ACT",29,4123
"CONTRACT LABOUR ACT 1970",1,4124
"CONTRACT LABOUR REQUISITION ACT 1970",1,4125
"CONTRACT LABOUR regulation and abolition ACT 1970",24,4126
"CONTROL OF FERTILIZER 1985",2,4127
"COPTA",3,4128
"COPTA ACT",35,4129
"COPTA Act 2003",6,4130
"COPY RIGHT ACT",17,4131
"COPY RIGHTS ACT",36,4132
"COPYRIGHT ACT",3474,4133
"COPYRIGHT ACT 1957, U/S.52 OF A, 63, 68 OF A",1,4134
"COPYRIGHT ACT, 1957",2428,4135
"COPYRIGHT ACT, 1957 ALONG WITH RULES, 1958 AND INTERNATIONAL COPYRIGHT ORDER, 1999",2708,4136
"COPYRIGHT AMENDMENT ACT",1,4137
"CORPORATION ACT",8,4138
"COTP Act",83,4139
"COTP Act 2003",28,4140
"COTPA",893,4141
"COTPA ACT",499,4142
"COTPA Act",170,4143
"COTPA Act.",3,4144
"COTPA,cigarettes and other tobacco products act 2003, u/s 5 and 6",1,4145
"COTTA ACT",5,4146
"COTTON GINNING & PRESSING FACTORIES ACT, 1925",29,4147
"COURT",3,4148
"COURT FEE  ACT",1,4149
"COURT FEES ACT",82,4150
"COURT FEES ACT 1870",1,4151
"COURT FEES ACT, 1870",5963,4152
"COURT FEES ACT,1870",26,4153
"COURT-FEES ACT, 1870",267,4154
"COW ANIMAL PRESERVATION ACT OF 1977",3,4155
"COW SLAUGHTER ACT",4133,4156
"COW SLAUGHTERS ACT",9,4157
"COW SLETAR ACT",129,4158
"COW SLUGHTER ACT",2,4159
"COW-SLAUGHTER ACT",4,4160
"CPC",132024,4161
"CPC - Code of Civil Procedure",6622,4162
"CPC 1101",3,4163
"CPC 151",29,4164
"CPC 24",47,4165
"CPC 96",128,4166
"CPC ACT",14,4167
"CPC Act",1403,4168
"CPC Act.",17,4169
"CPC Order 21 Rule II Form 6 App E",241,4170
"CPC Sec 26 Order 7 Rule 3 to 7",1,4171
"CPC Under Section 80.2",12,4172
"CPC,Civil Procedure Code",86,4173
"CPF Rules",40,4174
"CR. P. C.",1212,4175
"CRA",113,4176
"CRIMINAL APPEAL",3,4177
"CRIMINAL CASE UNDER IPC",2037,4178
"CRIMINAL CASES UNDER 138 N.I. ACT",75,4179
"CRIMINAL CASES UNDER IPC",716,4180
"CRIMINAL CSE UNDER 138 OF NEGOTIABLE INSTRUMENT ACT",7,4181
"CRIMINAL LAW AMENDMENT ACT",1578,4182
"CRIMINAL LAW AMENDMENT ACT 1908",390,4183
"CRIMINAL LAW AMENDMENT ACT, 2005",408,4184
"CRIMINAL LAW AMENDMENT ORDINANCE",1,4185
"CRIMINAL MAJOR ACT",762,4186
"CRIMINAL MANUAL, 1977",1837,4187
"CRIMINAL MISC CASE",13,4188
"CRIMINAL MISC. PETITION.",70,4189
"CRIMINAL MISCLANEOUS",35,4190
"CRL CASE UNDER K.P.ACT",2,4191
"CRL. RULES OF PRACTICE",282,4192
"CRL.APPEAL",1,4193
"CRL.LAW AMENDEMENT ACT",269,4194
"CROSS EXAMINATION OF DW 1",1,4195
"CRUELTY OF ANIMALS ACT",3,4196
"CRUELTY TO ANIMALS ACT",8,4197
"CS (Prevention of Cows Slaughter) Act Uttar Pradesh",717,4198
"CS ACT",1821,4199
"CSS (Senior PPS Grade) Rules",1,4200
"CSSS (PPS Grade) Rules",62,4201
"CUSTOMS ACT, 1962",28,4202
"CUSTOMS AND TARIFFS ACT",1,4203
"Cable Television - Networks (Regulation) Act, 1995",9,4204
"Cable Television Net Works (Regulation) Act",2,4205
"Cable Television Network Regulation Act 1995",1,4206
"Cable Television Networks (Regulation) Act",3103,4207
"Cable Television Networks (Regulation) Act 1995",1,4208
"Cable Television Networks (Regulation) Act, 1995",2,4209
"Cable Television Networks Regulation Act",5,4210
"Cable Television Networks Rules",7,4211
"CableTelevisionNetworks(Regulation)Act",143,4212
"Calcutta High Court (Extension of Jurisdiction) Act",841,4213
"Calcutta High Court (Jurisdictional Limits) Act",14071,4214
"Calcutta High Court Extension of Jurisdiction Act",1,4215
"Calcutta Land revenue Act",5,4216
"Calcutta Land-revenue Act",680,4217
"Calcutta Metro Railway (Operation and Maintenance) Temporary Provisions Act",477,4218
"Calcutta Pilots Act",84,4219
"Calcutta Port (Pilotage) Act",66,4220
"Calicut University (Conduct of Elections to Various Authorities or Bodies) First Statutes, 1975",10,4221
"Calicut University (Registration of Graduates) 1st Statute, 1975",10,4222
"Calicut University Act, 1975",26,4223
"Caltex [Acquisition of Shares of Caltex Oil  Refining (India)  Limited and of the Undertakings in In",16,4224
"Caltex [Acquisition of Shares of Caltex Oil Refining (India) Limited and of the Undertakings in In",1,4225
"Camping & Mooring Sites Act , Svt. 2004 (1947 A.D)",14,4226
"Camping &amp;amp; Mooring Sites Act , Svt. 2004 (1947 A.D)",1,4227
"Canal Act",1,4228
"Canals Act",2379,4229
"Cancellation / Relaxation in Attendance at P. Stn.",9,4230
"Cancellation of Sale Deed",7,4231
"Cane Act",1,4232
"Canon Law",36,4233
"Cantonment Act",10,4234
"Cantonment Act 1924",207,4235
"Cantonment Act 1924  \",28,4236
"Cantonment Act 1924 \",34,4237
"Cantonment Board Act",4,4238
"Cantonments (Extension of Rent Control Laws) Act",153,4239
"Cantonments (House Accommodation) Act",67,4240
"Cantonments Act",7242,4241
"Cantonments Act 1924",562,4242
"CantonmentsAct",20,4243
"Capital Gains Accounts Scheme",1,4244
"Capital of Punjab Development and Regulation (Chandigarh  Amendment) Act",80,4245
"Capital of Punjab Development and Regulation (Chandigarh Amendment) Act",26,4246
"Cardamom Act",82,4247
"CardamomAct",2,4248
"Care and Child Protection Act U/S",29,4249
"Care and Protection of Children Act 2000",4,4250
"Care and Protection of Children Act, 2000",1,4251
"Care and Protection of Children Act,2015",1,4252
"Care and Protection of Children Act-2000",64,4253
"Care and Protection of Children) Act-2000",5,4254
"Care and Protection of Children) Act-2000\",432,4255
"Care and Protection of children",2,4256
"Care and protection of children",12,4257
"Caristain Divorce Act",2,4258
"Carriage by Air Act",96,4259
"Carriage by Air Act 1972",3,4260
"Carriage by Road Act,2007",35,4261
"Carriage of Goods by Sea Act, 1925",12,4262
"Carriage of Passengers Suffering from Infectious or Contagious Diseases Rules.",1,4263
"CarriagebyAirAct",4,4264
"Carriers Act",95,4265
"Carriers Act 1865",2,4266
"Carriers Act, 1865",20,4267
"CarriersAct",2,4268
"Cases  \",68,4269
"Caste Disabilities Removal Act",26,4270
"Caste Questions Pleaders",17,4271
"CasteDisabilitiesRemovalAct",9,4272
"Cattle  Act",2,4273
"Cattle Licencing Act.",2,4274
"Cattle Trespass Act 1871",13,4275
"Cattle Trespass Act, 1961",18,4276
"Cattle Trespass Act, Svt. 1977 (1920A.D)",11,4277
"Cattle Tress Pass Act",3,4278
"Cattle Tresspass Act",9,4279
"Cattle-trespass Act",1323,4280
"Cattle-trespass Act 1871",1506,4281
"Cattle-trespassAct",9,4282
"Caveat Act",10,4283
"Caw Slaughter Act",295,4284
"Ceiling Act",1,4285
"Cement Cess Rules",1,4286
"Cement Control Order Bihar",5,4287
"Cement Control Order(Bihar)",250,4288
"Census Act",261,4289
"CensusAct",7,4290
"Central  Excises and Salt (Amendment) Act",413,4291
"Central  Excises and Salt (Amendment) Act 1985",3019,4292
"Central  Excises and Salt Amendment Act",4,4293
"Central Advisory Council (Procedural) Rules",46,4294
"Central Agricultural University Act",142,4295
"Central Amendment Act-1894",1,4296
"Central Boards of Revenue Act",144,4297
"Central Civil Services (Classification Control and Appeal) Rules",1,4298
"Central Civil Services (Conduct) Rules",1,4299
"Central Civil Services (Temporary Service) Rules",2,4300
"Central Educational Institutions (Reservation in Admission)Act",121,4301
"Central Educational Institutions Reservation in AdmissionAct",1,4302
"Central Excise (Advance Rulings) Rules",1,4303
"Central Excise (Determination of Retail Sale Price of Excisable Goods) Rules",2,4304
"Central Excise (Removal of Goods at Concessional Rate of Duty for Manufacture of Excisable Goods) Rules",1,4305
"Central Excise Act",10878,4306
"Central Excise Act, 1944",22,4307
"Central Excise Laws (amendment and validation) Ordinance",62,4308
"Central Excise Rules",157,4309
"Central Excise Tariff Act",4565,4310
"Central Excise Tariff Act, 1985",300,4311
"Central Excise and Salt Act, 1944",25,4312
"Central Excises (Conversion to Metric Units) Act",1263,4313
"Central Excises (Conversion to Metric Units) Act 1960",110,4314
"Central Excises Act",5099,4315
"Central Excises and Salt (Amendment) Act",210,4316
"Central Goods and Service Tax Act",4,4317
"Central Goods and Service Tax, 2017",2,4318
"Central Industrial Security Force (Amendment and Validation) Act",809,4319
"Central Industrial Security Force Act",208,4320
"Central Industrial Security Force Act 1968",1,4321
"Central Labour Laws (Extension to Jammu and Kashmir) Act",1039,4322
"Central Laws (Extension to Arunachal Pradesh) Act",25,4323
"Central Laws (Extension to Jammu and Kashmir) Act",25,4324
"Central Lotteries Regulation Act",1,4325
"Central Lottery Regulation Act  1998",2,4326
"Central Motor Vehicle 1988",119,4327
"Central Motor Vehicle Act 1988",89,4328
"Central Motor Vehicle Rule 1988",43,4329
"Central Motor Vehicle Rules",701,4330
"Central Motor vehicle rules 2015",1,4331
"Central Provinces Court of Wards Act",5113,4332
"Central Provinces Court of Wards Act 1899",1,4333
"Central Provinces Financial Commissioner's Act",48,4334
"Central Provinces Financial Commissioners Act",1,4335
"Central Provinces Land-revenue Act",136,4336
"Central Provinces Land-revenue Act 1881",1,4337
"Central Provinces Laws Act",143,4338
"Central Provinces Laws Act 1875",1,4339
"Central Provinces Tenancy Act",24,4340
"Central Reserve Police Force Act",1039,4341
"Central Road Fund Act",72,4342
"Central Sales Tax (Amendment) Act",553,4343
"Central Sales Tax (Amendment) Act 1969",8,4344
"Central Sales Tax Act",386,4345
"Central Sales Tax Act 1956",31,4346
"Central Sales Tax Act 1956  \",13,4347
"Central Sales Tax Act 1956\",13,4348
"Central Sales Tax Act, 1956",14,4349
"Central Sales Tax Rules(Bihar)",79,4350
"Central Silk Board Act",16,4351
"Central Vigilance Commission Act",37,4352
"Central Vigilance Commission Act 2003",2,4353
"Central sale tax Act",1,4354
"CentralBoardsofRevenueAct",60,4355
"CentralEducationalInstitutions(ReservationinAdmission)Act",5,4356
"CentralExciseAct",12,4357
"CentralExciseTariffAct",10,4358
"CentralExcises(ConversiontoMetricUnits)Act",31,4359
"CentralIndustrialSecurityForce(AmendmentandValidation)Act",2,4360
"CentralLabourLawsAct",155,4361
"CentralReservePoliceForceAct",24,4362
"CentralRoadFundAct",12,4363
"CentralSalesTax(Amendment)Act",3,4364
"CentralSalesTaxAct",6,4365
"CentralSilkBoardAct",189,4366
"CentralVigilanceCommissionAct",2,4367
"Centralised Processing of Returns Scheme",1,4368
"Cess Act",472,4369
"Cess and Other Taxes on Minerals (Validation) Act",13,4370
"CessandOtherTaxesonMinerals(Validation)Act",14,4371
"Chaild Marriage Act",1,4372
"Chalchitra Adhiniyam",12,4373
"Chandernagore (Merger) Act",35,4374
"Chandigarh (Delegation of Powers) Act, 1987",17,4375
"Chandigarh Disturbed Areas Act",2,4376
"Chaparmukh Silghat Railway Line and the Katakhal Lalabazar  Railway Line (Nationalisation) Act",7,4377
"Chaparmukh Silghat Railway Line and the Katakhal Lalabazar Railway Line (Nationalisation) Act",1,4378
"Charge Frame",1,4379
"Charging of Exhorbitant Interest Act",2,4380
"Charitable Endowments Act",44,4381
"Charitable Endowments Act 1890",13,4382
"Charitable Endowments Act, 1989",1,4383
"Charitable and Religious Trust Act",6,4384
"Charitable and Religious Trust Act, 1920",21,4385
"Charitable and Religious Trust Act. 1920",1,4386
"Charitable and Religious Trusts Act",86,4387
"Charitable and Religious Trusts Act 1920",23,4388
"Charitable and Religious Trusts Act,1920",2,4389
"CharitableEndowmentsAct",55,4390
"CharitableandReligiousTrustsAct",65,4391
"Chartered Accountants Act",18,4392
"CharteredAccountantsAct",73,4393
"Chattisgarh Agriculture Cattle Preservation Act 2004",1,4394
"Cheating Act.",2,4395
"Chechak tika Adhiniyam 1968",1,4396
"Chemical Weapons Convention Act, 2000",37,4397
"Chemical Weapons Convention Act, 2000 2000",1,4398
"ChemicalWeaponsConventionAct",38,4399
"Chennai City Municiple Corporation Act, 1919",7,4400
"Chennai Corporation Act, 1888",1,4401
"Chetra Panchayat And Zilla Panchayad Adhiniyam 1961",2,4402
"Chhattisgarh Agricultural Cattle Preserration Act, 2004",6,4403
"Chhattisgarh Agricultural Cattle Preservation Act - 1959",37,4404
"Chhattisgarh Agricultural Cattle Preservation Act 2004",53,4405
"Chhattisgarh Agricultural Cattle Prevention Act 2004",2,4406
"Chhattisgarh Agriculture Cattle Preservation Act -1959",43,4407
"Chhattisgarh Agriculture Cattle Preservation Act 2004",23,4408
"Chhattisgarh Agriculture Cattle preservation Act - 2004",14,4409
"Chhattisgarh Animal shielding and amendment act 2011",1,4410
"Chhattisgarh Essential service sandharan and Prevention of vichchanta  Act",1,4411
"Chhattisgarh Kolahal Niyantran Adhiniyam, 1985",106,4412
"Chhattisgarh Krishak Pashu Parirashan Act 2004",3,4413
